[1,1];50;37;9.6;
[1,2];47;37;8.8;
[1,3];43;36;7.7;
[1,4];40;36;7.1;
[1,5];35;35;6.3;
[1,6];33;35;5.9;
[1,7];28;35;5.4;
[1,8];26;34;5.1;
[1,9];22;34;4.8;
[1,10];19;34;4.6;
[1,11];16;33;4.4;
[1,12];13;33;4.3;
[1,13];10;33;4.2;
[1,14];7;33;4.1;
[1,15];4;33;4.1;
[1,16];2;33;4.1;
[1,17];-2;33;4.1;
[1,18];-4;33;4.1;
[1,19];-7;33;4.1;
[1,20];-10;33;4.2;
[1,21];-13;33;4.3;
[1,22];-16;33;4.4;
[1,23];-19;34;4.6;
[1,24];-22;34;4.8;
[1,25];-26;34;5.1;
[1,26];-28;35;5.4;
[1,27];-33;35;5.9;
[1,28];-35;35;6.3;
[1,29];-40;36;7.1;
[1,30];-43;36;7.7;
[1,31];-47;37;8.8;
[1,32];-50;37;9.6;
[2,1];50;34;9.0;
[2,2];47;34;8.2;
[2,3];42;33;7.2;
[2,4];39;33;6.6;
[2,5];35;33;5.9;
[2,6];32;32;5.5;
[2,7];28;32;5.1;
[2,8];26;31;4.8;
[2,9];22;31;4.5;
[2,10];19;31;4.4;
[2,11];16;31;4.2;
[2,12];13;30;4.1;
[2,13];10;30;4.0;
[2,14];7;30;4.0;
[2,15];4;30;4.0;
[2,16];2;30;3.9;
[2,17];-2;30;3.9;
[2,18];-4;30;4.0;
[2,19];-7;30;4.0;
[2,20];-10;30;4.0;
[2,21];-13;30;4.1;
[2,22];-16;31;4.2;
[2,23];-19;31;4.4;
[2,24];-22;31;4.5;
[2,25];-26;31;4.8;
[2,26];-28;32;5.1;
[2,27];-32;32;5.5;
[2,28];-35;33;5.9;
[2,29];-39;33;6.6;
[2,30];-42;33;7.2;
[2,31];-47;34;8.2;
[2,32];-50;34;9.0;
[3,1];49;30;8.2;
[3,2];46;30;7.5;
[3,3];42;29;6.5;
[3,4];39;29;6.0;
[3,5];35;28;5.4;
[3,6];32;28;5.1;
[3,7];28;28;4.7;
[3,8];25;28;4.4;
[3,9];21;27;4.2;
[3,10];19;27;4.1;
[3,11];15;27;4.0;
[3,12];13;26;3.9;
[3,13];10;26;3.9;
[3,14];7;26;3.9;
[3,15];4;26;3.8;
[3,16];2;26;3.8;
[3,17];-2;26;3.8;
[3,18];-4;26;3.8;
[3,19];-7;26;3.9;
[3,20];-10;26;3.9;
[3,21];-13;26;3.9;
[3,22];-15;27;4.0;
[3,23];-19;27;4.1;
[3,24];-21;27;4.2;
[3,25];-25;28;4.4;
[3,26];-28;28;4.7;
[3,27];-32;28;5.1;
[3,28];-35;28;5.4;
[3,29];-39;29;6.0;
[3,30];-42;29;6.5;
[3,31];-46;30;7.5;
[3,32];-49;30;8.2;
[4,1];49;27;7.8;
[4,2];46;27;7.0;
[4,3];41;27;6.2;
[4,4];38;26;5.7;
[4,5];34;26;5.1;
[4,6];31;26;4.8;
[4,7];28;25;4.4;
[4,8];25;25;4.3;
[4,9];21;25;4.1;
[4,10];19;24;4.0;
[4,11];15;24;3.9;
[4,12];13;24;3.9;
[4,13];9;24;3.8;
[4,14];7;24;3.8;
[4,15];4;23;3.8;
[4,16];2;23;3.8;
[4,17];-2;23;3.8;
[4,18];-4;23;3.8;
[4,19];-7;24;3.8;
[4,20];-9;24;3.8;
[4,21];-13;24;3.9;
[4,22];-15;24;3.9;
[4,23];-19;24;4.0;
[4,24];-21;25;4.1;
[4,25];-25;25;4.3;
[4,26];-28;25;4.4;
[4,27];-31;26;4.8;
[4,28];-34;26;5.1;
[4,29];-38;26;5.7;
[4,30];-41;27;6.2;
[4,31];-46;27;7.0;
[4,32];-49;27;7.8;
[5,1];49;23;7.2;
[5,2];45;23;6.5;
[5,3];41;23;5.7;
[5,4];38;22;5.3;
[5,5];34;22;4.8;
[5,6];31;22;4.5;
[5,7];27;21;4.2;
[5,8];25;21;4.1;
[5,9];21;21;3.9;
[5,10];18;21;3.9;
[5,11];15;20;3.8;
[5,12];13;20;3.8;
[5,13];9;20;3.8;
[5,14];7;20;3.8;
[5,15];4;20;3.9;
[5,16];2;20;3.9;
[5,17];-2;20;3.9;
[5,18];-4;20;3.9;
[5,19];-7;20;3.8;
[5,20];-9;20;3.8;
[5,21];-13;20;3.8;
[5,22];-15;20;3.8;
[5,23];-18;21;3.9;
[5,24];-21;21;3.9;
[5,25];-25;21;4.1;
[5,26];-27;21;4.2;
[5,27];-31;22;4.5;
[5,28];-34;22;4.8;
[5,29];-38;22;5.3;
[5,30];-41;23;5.7;
[5,31];-45;23;6.5;
[5,32];-49;23;7.2;
[6,1];48;21;6.9;
[6,2];45;20;6.2;
[6,3];41;20;5.5;
[6,4];38;20;5.1;
[6,5];34;19;4.6;
[6,6];31;19;4.4;
[6,7];27;19;4.1;
[6,8];24;19;4.0;
[6,9];21;18;3.9;
[6,10];18;18;3.8;
[6,11];15;18;3.8;
[6,12];12;18;3.8;
